Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
Bv_RNA_0C_GT1	25168816.0	264.0	22119491.0	87.88	263.81	17500635.0	17461842.0	17043784.0	275914.0	17803.0	163134.0	0.51	0.06	3.04	0.04	2.94	1954138.0	7.76	8223.0	0.03	0.0	4.12	0.2	0	1036642	50322
Bv_RNA_0C_GT1	42413697.0	265.0	36042315.0	84.98	264.44	28530528.0	28461111.0	27760211.0	475550.0	33642.0	261125.0	0.55	0.07	3.2	0.04	2.98	3560880.0	8.4	12554.0	0.03	0.0	6.39	0.2	0	2713033	84915
Bv_RNA_0C_GT1	33235108.0	263.0	29587016.0	89.02	263.11	24779867.0	24686427.0	24102213.0	376244.0	30086.0	271324.0	0.49	0.06	3.4	0.04	3.19	2301605.0	6.93	14149.0	0.04	0.0	3.78	0.23	0	1255920	76418
Bv_RNA_0C_GT2	38382086.0	266.0	34133316.0	88.93	265.17	28692773.0	28578565.0	27899827.0	478993.0	33698.0	280255.0	0.51	0.06	3.14	0.04	3.05	2840141.0	7.4	12431.0	0.03	0.0	3.41	0.23	0	1307977	88221
Bv_RNA_0C_GT2	42677182.0	259.0	38166162.0	89.43	258.26	29687611.0	29595875.0	28826830.0	488491.0	40763.0	331527.0	0.52	0.06	2.96	0.04	2.94	2779906.0	6.51	10033.0	0.02	0.0	3.94	0.09	0	1682645	38436
Bv_RNA_0C_GT2	33006586.0	274.0	28772973.0	87.17	273.32	23934076.0	23851381.0	23239237.0	402954.0	26910.0	264975.0	0.54	0.06	3.01	0.04	3.13	2875981.0	8.71	9095.0	0.03	0.0	3.87	0.22	0	1276000	72537
Bv_RNA_20C_GT1	27352474.0	264.0	22326864.0	81.63	263.77	17374351.0	17336330.0	16714843.0	428626.0	27616.0	203266.0	0.52	0.05	2.67	0.03	2.81	3948385.0	14.44	9398.0	0.03	0.0	3.47	0.44	0	947662	120165
Bv_RNA_20C_GT1	38886432.0	258.0	32544053.0	83.69	257.78	25621230.0	25563612.0	24687788.0	578720.0	36901.0	317821.0	0.55	0.06	2.95	0.04	3.12	4504350.0	11.58	14814.0	0.04	0.0	4.19	0.5	0	1628842	194373
Bv_RNA_20C_GT1	35902252.0	266.0	30209270.0	84.14	264.98	25266425.0	25217542.0	24445402.0	534361.0	32806.0	253856.0	0.51	0.05	2.76	0.03	3.01	4070648.0	11.34	15790.0	0.04	0.0	4.09	0.38	0	1469970	136574
Bv_RNA_20C_GT2	20366025.0	261.0	17295647.0	84.92	260.78	15227258.0	15194549.0	14729114.0	341809.0	20260.0	136075.0	0.48	0.04	2.96	0.03	2.83	2361171.0	11.59	8935.0	0.04	0.0	2.96	0.48	0	602560	97712
Bv_RNA_20C_GT2	40279687.0	265.0	34372033.0	85.33	264.41	30254545.0	30195966.0	29305019.0	632873.0	44245.0	272408.0	0.48	0.04	2.91	0.03	2.79	4370634.0	10.85	28793.0	0.07	0.0	3.3	0.45	0	1327240	180987
Bv_RNA_20C_GT2	48072463.0	265.0	40017439.0	83.24	264.05	32068346.0	31995141.0	30913338.0	734445.0	52313.0	368250.0	0.54	0.06	3.02	0.04	3.05	6036679.0	12.56	17964.0	0.04	0.0	3.72	0.44	0	1788802	211579
